filename,transcript,duration,label
common_voice_en_42238716.mp3,Esplen is part of Pittsburgh and is in the Pittsburgh City School district.,8.323,0
common_voice_en_42555516.mp3,Safronov is the nearest rural locality.,4.327,1
common_voice_en_42123909.mp3,Weather forecasting is another critical aspect of sailing yacht management.,6.668,2
common_voice_en_42527894.mp3,"The group then sing the bridge, and end the song repeating the chorus twice.",7.296,3
common_voice_en_42387510.mp3,Typically it encloses a metal grommet for reinforcement and to reduce wear.,5.984,4
common_voice_en_41917490.mp3,"The department is, historically, a prominent producer of gold, silver, and copper.",8.287,5
common_voice_en_41920861.mp3,"According to an old account, there was an important exception to the rule.",5.588,6
common_voice_en_41917515.mp3,One skeleton dances part of the Charleston.,5.803,7
common_voice_en_41974998.mp3,The ghettoization was completed within a week.,3.139,8
common_voice_en_42358814.mp3,He then started to study Business administration but broke off after a few semesters.,6.343,9
common_voice_en_41928094.mp3,Then you're not the man.,3.175,0
common_voice_en_41929248.mp3,The local baseball field is named for him.,3.788,1
common_voice_en_41928171.mp3,"These circuits are very frequently fed from transformers, and have significant resistance.",8.504,2
common_voice_en_41962478.mp3,He won his first career race at New Hampshire and finished eighth in points.,6.668,3
common_voice_en_41921421.mp3,She is married to Mathieu Sweeney.,3.788,4
common_voice_en_41948210.mp3,"“These others,” he said in a voice of extreme irritation.",5.335,5
common_voice_en_41920850.mp3,He is quickly killed by Superboy-Prime amidst the chaos.,6.308,6
common_voice_en_41930868.mp3,"He attended Iowa State University, where he played defense on the school's football team.",7.819,7
common_voice_en_41917262.mp3,Many highly successful television series have been known as period pieces.,6.776,8
common_voice_en_42437221.mp3,Lenny Hart was also the Grateful Dead's original money manager.,5.244,9
common_voice_en_42221034.mp3,Sloman was married with three daughters.,4.723,0
common_voice_en_42141720.mp3,"Despite their frequent bothering, he never paid them any attention.",6.271,1
common_voice_en_42387512.mp3,The town is surrounded by a mud wall and ditch.,4.364,2
common_voice_en_41942247.mp3,Union Iron works built a number of ships for the United States Navy.,6.308,3
common_voice_en_41917466.mp3,He came from an eminent family.,4.003,4
common_voice_en_42604282.mp3,"If anything, I was more competent in handling physical affairs.",4.255,5
common_voice_en_42095418.mp3,I believe that compassion and empathy are crucial in fostering healthy relationships.,6.415,6
common_voice_en_42020013.mp3,Philpott was for many years Treasurer and then President of the British Psychological Society.,7.604,7
common_voice_en_41940779.mp3,"To deal with this, Unicode provides the mechanism of canonical equivalence.",5.588,8
common_voice_en_42401105.mp3,"Petty suggested that he call Donovan, which he did.",4.543,9
common_voice_en_41928123.mp3,Agricultural production is an important contributor to Jamaica's economy.,5.228,0
common_voice_en_41944826.mp3,Sharity-Light runs in user space rather than kernel space.,5.083,1
common_voice_en_42312376.mp3,A disjunct subset of its range occurs from central Colorado to northwestern New Mexico.,9.584,2
common_voice_en_41917228.mp3,Harrison co-produced the recording with percussionist Ray Cooper.,7.567,3
common_voice_en_42511436.mp3,He later commented that he did not support the death of Norwegian military personnel.,7.316,4
common_voice_en_42387498.mp3,You can find the source code here.,2.995,5
common_voice_en_42594358.mp3,Political positions inside and outside the party are open to women.,5.516,6
common_voice_en_41920860.mp3,"Linguist Noam Chomsky proposed a biological component of language, which he termed Universal Grammar.",9.223,7
common_voice_en_41917459.mp3,"The permanent exhibition, ""With a Single Step"" was designed by Matter Practice.",7.604,8
common_voice_en_41917205.mp3,With that task accomplished he felt he could retire at a high point.,6.343,9
common_voice_en_42387606.mp3,At times the experience is uncanny.,4.184,0
common_voice_en_42123899.mp3,"I leave my necklaces, bracelets, and earrings to Louise Smith.",5.768,1
common_voice_en_42387426.mp3,He attended La Mirada High School.,3.607,2
common_voice_en_41917519.mp3,"Their greatest chart success came with their summer hit single ""I Love You"".",7.136,3
common_voice_en_41920809.mp3,He finished his career after short stints with the Giants and Lions.,5.875,4
common_voice_en_42251480.mp3,"Some outside scholars examining the system in depth disagree with the ""official"" results.",6.92,5
common_voice_en_41920855.mp3,The competition is open to young skippers across all classes.,6.92,6
common_voice_en_41942339.mp3,"Currently, it also houses the American Airpower Museum.",5.66,7
common_voice_en_41917395.mp3,"Towards the video's climax, the crowd cheers Carey and begin clapping and chanting praises.",8.216,8
common_voice_en_42182410.mp3,Follow the link to find the list of World Alliances.,6.668,9
common_voice_en_42056288.mp3,"Bartram grew up in Scotland, Northern Ireland, and West Africa.",7.244,0
common_voice_en_41917187.mp3,"During the time he was with Miller, Hurley was one of the key soloists.",6.776,1
common_voice_en_41929216.mp3,Sulphate and chloride sodium water is used for therapeutic baths and drinking.,4.904,2
common_voice_en_42401091.mp3,Norris fought twice more after losing his title.,4.327,3
common_voice_en_42238820.mp3,Author Hunter S. Thompson remarked he was disappointed he was not on it.,9.764,4
common_voice_en_41921406.mp3,"Lawrence directed his first music videos for the San Jose band, A Western Front.",7.027,5
common_voice_en_41929259.mp3,The lake is bordered to the southwest by the Sinclair Wetlands.,5.588,6
common_voice_en_41917153.mp3,"As players do well, the player character's composure meeting increases.",11.636,7
common_voice_en_41917375.mp3,The first positive result of this effort was that Venezuela regained a credit-eligibility rating.,9.043,8
common_voice_en_42357635.mp3,Verma remains in place as its leader.,5.228,9
common_voice_en_41952277.mp3,Each of the lots have river frontage.,4.255,0
common_voice_en_41917154.mp3,"Although extinction is compared with hemispatial neglect, the two are different disorders.",11.924,1
common_voice_en_42387598.mp3,The two dated and went to State college together.,4.075,2
common_voice_en_42498924.mp3,"Initially, the school was located in Good Hope, Georgia.",3.824,3
common_voice_en_42038020.mp3,Today many are attracted to its folk music aspect.,5.623,4
common_voice_en_42312747.mp3,The American Reform Party is not a political party in the conventional sense.,6.343,5
common_voice_en_42220527.mp3,Instead a dirt highway going north-east reaches Arua and Gulu north of the lake.,7.027,6
common_voice_en_42387486.mp3,The effect became a favourite.,2.888,7
common_voice_en_41917493.mp3,The listing of shares on the stock exchanges was discontinued at short notice.,7.244,8
common_voice_en_41952302.mp3,She is a mother of two sons named Kayden Cash and Sebastian Evans.,7.567,9
common_voice_en_41984164.mp3,Follow-up tests can include painful biopsies which can result in excessive bleeding and infection.,5.623,0
common_voice_en_41948211.mp3,"There are two main reason for which I think it's not true, he says.",5.696,1
common_voice_en_42387523.mp3,There are a variety of diesel particulate filter technologies on the market.,5.984,2
common_voice_en_41984174.mp3,This was witnessed by a large number of persons and sworn to on affidavit.,4.904,3
common_voice_en_41962071.mp3,The rebranding process was referred internally to as Project Hyphen.,5.696,4
common_voice_en_42479121.mp3,Now in fire we may consider three things.,3.788,5
common_voice_en_41940683.mp3,"His servants obeyed his orders, the monks being powerless to interfere.",4.976,6
common_voice_en_42041475.mp3,The primary reason was pressure to use non-lead bullets.,7.136,7
common_voice_en_42479042.mp3,"Many listeners were excited by the raunchy, earthy sounds of their growls and mutes.",6.343,8
common_voice_en_41971291.mp3,The seat of the municipality is the town of Paramythia.,4.76,9
common_voice_en_42006138.mp3,A healthy diet combined with lots of exercise can help you keep fit.,7.495,0
common_voice_en_42095438.mp3,The stars in Carina have also been found to be metal-poor.,4.795,1
common_voice_en_41917524.mp3,This is known as skinny dipping.,4.003,2
common_voice_en_42505992.mp3,"Instead of favoring individuals with extreme phenotypes, it favors the intermediate variants.",8.684,3
common_voice_en_41929143.mp3,Radicals may appear in any position in a character.,6.668,4
common_voice_en_41921376.mp3,Walsh was born in Melbourne.,3.607,5
common_voice_en_41927938.mp3,"There's another one of mine, said Lucie.",4.615,6
common_voice_en_42037995.mp3,"Famously, he once said of such an unclear paper: It is not even wrong!",6.883,7
common_voice_en_41929198.mp3,The album takes its name from an experimental film by Kenneth Anger.,6.848,8
common_voice_en_42356785.mp3,"Seven of the songs that were performed were from ""Beautiful Vision"".",7.136,9
common_voice_en_42593468.mp3,Raff was born in Lachen in Switzerland.,3.896,0
common_voice_en_42458975.mp3,The award went to David Foster and Jeremy Lubbock.,8.431,1
common_voice_en_41958320.mp3,Her grave is located at the Hietzing Cemetery.,4.688,2
common_voice_en_41977272.mp3,"It was named a Notable Book of the Year by ""The New York Times"".",4.939,3
common_voice_en_41918336.mp3,Teams are seeded according to their regular-season record.,4.508,4
common_voice_en_41962016.mp3,"The Army's operational headquarters, Forces Command, is located at Victoria Barracks in Sydney.",7.963,5
common_voice_en_42466107.mp3,"However, the series was launched without this technology.",4.615,6
common_voice_en_41971860.mp3,This estate was roughly two-thirds of the modern suburb of East Ryde.,5.768,7
common_voice_en_41917383.mp3,Chinese burial coins are typically not included in Chinese coin catalogues.,7.027,8
common_voice_en_42145770.mp3,He was considered a relatively liberal supporter of a constitutional monarchy.,5.875,9
