learning_rate,batch_size,hidden_dimension,run_id,run_dir,train/ctc_loss,train/wer,val/ctc_loss,val/wer,val/cer
0.0001,16,256,a2oa03hq,lr0.0001_bs16_hd256_runa2oa03hq,2.7933356761932373,1.0246773958206177,2.5648586750030518,1.0175814628601074,1.0175814628601074
0.0005,16,128,51ckfo0h,lr0.0005_bs16_hd128_run51ckfo0h,11.244476318359375,1.0075784921646118,11.229201316833496,1.0,1.0
0.0001,64,32,zhpgj1y5,lr0.0001_bs64_hd32_runzhpgj1y5,11.179400444030762,1.044607162475586,11.445959091186523,1.0,1.0
0.0005,16,256,26itkraj,lr0.0005_bs16_hd256_run26itkraj,2.8885254859924316,1.04436457157135,2.729132890701294,1.0680197477340698,1.0680197477340698
0.001,64,256,saqssyo3,lr0.001_bs64_hd256_runsaqssyo3,11.254514694213867,1.1150192022323608,11.519713401794434,1.0,1.0
0.001,64,128,hz50koci,lr0.001_bs64_hd128_runhz50koci,11.40998649597168,1.0,10.77115249633789,1.0,1.0
0.0001,8,64,h969a4wi,lr0.0001_bs8_hd64_runh969a4wi,11.219691276550293,1.0383872985839844,11.027494430541992,1.007447600364685,1.007447600364685
0.0001,64,32,dw63ox6r,lr0.0001_bs64_hd32_rundw63ox6r,10.790450096130371,1.0448448657989502,11.770645141601562,1.3474589586257935,1.3474589586257935
0.0001,32,256,1z02t1ld,lr0.0001_bs32_hd256_run1z02t1ld,2.893440008163452,1.0184389352798462,2.8446547985076904,1.0197240114212036,1.0197240114212036
0.0001,8,64,0rcswg0v,lr0.0001_bs8_hd64_run0rcswg0v,2.6234259605407715,0.9996749758720398,2.596134901046753,0.9964438080787659,0.9964438080787659
0.0001,32,32,lowa4wh3,lr0.0001_bs32_hd32_runlowa4wh3,3.462465763092041,1.0073717832565308,3.187455892562866,0.9932225346565247,0.9932225346565247
0.001,64,256,387oyzlp,lr0.001_bs64_hd256_run387oyzlp,3.081345796585083,1.003237247467041,3.0699260234832764,1.0033406019210815,1.0033406019210815
0.0005,64,64,jq7sqtnd,lr0.0005_bs64_hd64_runjq7sqtnd,3.0955586433410645,1.0011814832687378,3.047243595123291,0.998471200466156,0.998471200466156
0.0001,8,64,99h4vahg,lr0.0001_bs8_hd64_run99h4vahg,11.273966789245605,1.0174742937088013,10.923358917236328,1.0,1.0
0.0005,16,32,u79j274w,lr0.0005_bs16_hd32_runu79j274w,2.884559154510498,1.0031638145446777,2.760831356048584,1.0014286041259766,1.0014286041259766
0.001,16,32,nqhlpv73,lr0.001_bs16_hd32_runnqhlpv73,2.8896825313568115,1.004698634147644,2.6365678310394287,1.0321038961410522,1.0321038961410522
0.0005,32,128,1nr9n0wo,lr0.0005_bs32_hd128_run1nr9n0wo,2.9007773399353027,1.0404667854309082,2.9764609336853027,1.0,1.0
0.0001,16,32,a3rtk9e4,lr0.0001_bs16_hd32_runa3rtk9e4,2.9559483528137207,1.0,2.820103168487549,0.9992856979370117,0.9992856979370117
0.0001,16,256,ymyyokey,lr0.0001_bs16_hd256_runymyyokey,11.160958290100098,1.0,11.117097854614258,1.0,1.0
0.0005,16,32,rjdd0o6r,lr0.0005_bs16_hd32_runrjdd0o6r,11.128362655639648,1.0031417608261108,10.599883079528809,1.0,1.0
0.0005,16,256,108fzq2g,lr0.0005_bs16_hd256_run108fzq2g,2.84024977684021,1.0525904893875122,2.8105580806732178,1.2369153499603271,1.2369153499603271
0.001,8,256,8xu3b4fz,lr0.001_bs8_hd256_run8xu3b4fz,11.143543243408203,1.0,11.674890518188477,1.0,1.0
0.0005,16,32,be3yy3tc,lr0.0005_bs16_hd32_runbe3yy3tc,11.100996971130371,1.0,11.421365737915039,1.0,1.0
0.0001,64,64,h17jctg8,lr0.0001_bs64_hd64_runh17jctg8,3.8772470951080322,0.9920701384544373,4.261194229125977,0.9890506863594055,0.9890506863594055
0.0001,64,32,rna4imtu,lr0.0001_bs64_hd32_runrna4imtu,11.32935905456543,1.0070217847824097,10.972648620605469,1.0,1.0
0.0001,16,128,0doajqd6,lr0.0001_bs16_hd128_run0doajqd6,2.8534963130950928,1.0030308961868286,2.772538423538208,1.0000357627868652,1.0000357627868652
0.0001,8,64,7caml4ic,lr0.0001_bs8_hd64_run7caml4ic,11.200342178344727,1.003711223602295,10.942148208618164,1.0091667175292969,1.0091667175292969
0.001,64,128,8mqemt9j,lr0.001_bs64_hd128_run8mqemt9j,11.262069702148438,1.0319918394088745,10.885351181030273,1.0,1.0
0.0001,16,128,3iijexag,lr0.0001_bs16_hd128_run3iijexag,11.289592742919922,1.1484438180923462,11.22960090637207,1.0075299739837646,1.0075299739837646
0.0001,32,256,7285sxs3,lr0.0001_bs32_hd256_run7285sxs3,11.172904014587402,1.0236148834228516,11.849717140197754,1.0,1.0
0.0001,8,256,89dncyig,lr0.0001_bs8_hd256_run89dncyig,11.19381046295166,1.0358065366744995,11.19815444946289,1.049004316329956,1.049004316329956
0.001,32,32,rlu3ph1q,lr0.001_bs32_hd32_runrlu3ph1q,2.938375234603882,1.001198410987854,2.784208297729492,0.9938311576843262,0.9938311576843262
0.0005,16,128,zs3cmndz,lr0.0005_bs16_hd128_runzs3cmndz,2.839787006378174,1.0554769039154053,2.6450014114379883,1.0053224563598633,1.0053224563598633
0.0005,8,256,njtx1yz5,lr0.0005_bs8_hd256_runnjtx1yz5,2.500466823577881,1.0550212860107422,2.710707902908325,1.1055792570114136,1.1055792570114136
0.001,8,128,5sfnhde9,lr0.001_bs8_hd128_run5sfnhde9,2.57222843170166,1.0520044565200806,2.553856134414673,1.0337578058242798,1.0337578058242798
0.0001,32,128,6lwmtta0,lr0.0001_bs32_hd128_run6lwmtta0,11.217491149902344,1.0008951425552368,10.702838897705078,1.0,1.0
0.0005,16,256,2vbinnlu,lr0.0005_bs16_hd256_run2vbinnlu,11.02587604522705,0.999791145324707,11.988821029663086,1.0279642343521118,1.0279642343521118
0.001,16,32,duuerplm,lr0.001_bs16_hd32_runduuerplm,10.980233192443848,0.999791145324707,10.928903579711914,1.0,1.0
0.0005,64,64,bjjt0af7,lr0.0005_bs64_hd64_runbjjt0af7,11.204804420471191,1.0,11.368343353271484,1.0,1.0
0.001,16,256,ynfvt7yh,lr0.001_bs16_hd256_runynfvt7yh,11.380171775817871,1.0127198696136475,10.919942855834961,1.0,1.0
0.001,64,256,dm1teesb,lr0.001_bs64_hd256_rundm1teesb,10.9262113571167,1.0,11.268392562866211,1.0,1.0
0.001,32,32,58a3kbfg,lr0.001_bs32_hd32_run58a3kbfg,11.370301246643066,1.0,11.212921142578125,1.0,1.0
0.0005,16,128,d499b8nl,lr0.0005_bs16_hd128_rund499b8nl,2.822206974029541,1.0612863302230835,3.0603554248809814,1.021697998046875,1.021697998046875
0.0005,16,32,uwnnyr6j,lr0.0005_bs16_hd32_runuwnnyr6j,2.723984956741333,1.00191068649292,3.0266144275665283,1.0058974027633667,1.0058974027633667
0.0001,16,128,5mqavijj,lr0.0001_bs16_hd128_run5mqavijj,2.7737228870391846,0.9983106255531311,2.726127862930298,0.9972307682037354,0.9972307682037354
0.001,8,64,,lr0.001_bs8_hd64,,,,,
0.0001,16,64,1xwlxupg,lr0.0001_bs16_hd64_run1xwlxupg,11.361837387084961,1.009653091430664,10.958224296569824,1.0846420526504517,1.0846420526504517
0.0005,64,128,03y7s3mf,lr0.0005_bs64_hd128_run03y7s3mf,3.0183794498443604,1.0277793407440186,3.049689531326294,0.9881941080093384,0.9881941080093384
0.001,32,32,qj8rlqb0,lr0.001_bs32_hd32_runqj8rlqb0,10.959936141967773,1.0,11.405054092407227,1.0,1.0
0.001,8,32,7un8p3nd,lr0.001_bs8_hd32_run7un8p3nd,2.5764076709747314,1.0667201280593872,2.7378997802734375,1.0202116966247559,1.0202116966247559
0.0001,16,64,bioj1gvs,lr0.0001_bs16_hd64_runbioj1gvs,11.205127716064453,1.0204559564590454,11.343042373657227,1.0,1.0
0.0001,64,64,zof21y6h,lr0.0001_bs64_hd64_runzof21y6h,3.9526584148406982,0.9995222091674805,3.949291229248047,1.0,1.0
0.0001,16,256,a1j81o5u,lr0.0001_bs16_hd256_runa1j81o5u,2.7637672424316406,1.0378835201263428,2.7086756229400635,1.0485986471176147,1.0485986471176147
0.001,8,32,bt4bzmy7,lr0.001_bs8_hd32_runbt4bzmy7,11.041686058044434,1.0,11.60710620880127,1.0,1.0
0.0005,32,64,zabg30zf,lr0.0005_bs32_hd64_runzabg30zf,11.329100608825684,1.0,10.723588943481445,1.0,1.0
0.0001,8,128,rh4rpqu2,lr0.0001_bs8_hd128_runrh4rpqu2,11.169486045837402,1.0346781015396118,11.256878852844238,1.0007692575454712,1.0007692575454712
0.0001,16,32,wvjzm88a,lr0.0001_bs16_hd32_runwvjzm88a,2.9105844497680664,0.997718870639801,2.6599886417388916,0.9954505562782288,0.9954505562782288
0.0005,8,32,8ssvt4kq,lr0.0005_bs8_hd32_run8ssvt4kq,11.250144004821777,1.005199670791626,11.771780014038086,1.0,1.0
0.001,8,128,7qtuqs33,lr0.001_bs8_hd128_run7qtuqs33,11.370505332946777,1.0,10.718497276306152,1.0141313076019287,1.0141313076019287
0.0005,16,32,rllk18vl,lr0.0005_bs16_hd32_runrllk18vl,2.7730891704559326,0.9985251426696777,2.910433769226074,1.0,1.0
0.0005,16,128,0w1r54p3,lr0.0005_bs16_hd128_run0w1r54p3,11.171351432800293,0.9998210072517395,10.98856258392334,1.0,1.0
0.0005,32,64,vdnqrwyk,lr0.0005_bs32_hd64_runvdnqrwyk,2.8527066707611084,0.9996655583381653,3.020000457763672,1.0,1.0
0.0005,64,128,77yx3ni9,lr0.0005_bs64_hd128_run77yx3ni9,3.046915292739868,1.0,3.121868133544922,0.9992784857749939,0.9992784857749939
0.0005,8,64,m1vq3xqu,lr0.0005_bs8_hd64_runm1vq3xqu,2.6292002201080322,1.0337550640106201,2.513320207595825,0.9980469942092896,0.9980469942092896
0.0001,16,32,vfx7xyyb,lr0.0001_bs16_hd32_runvfx7xyyb,2.8291175365448,0.9997427463531494,2.7452549934387207,1.0,1.0
0.0001,32,256,mfl1tgzc,lr0.0001_bs32_hd256_runmfl1tgzc,2.9771313667297363,0.9977866411209106,2.4324376583099365,1.0137525796890259,1.0137525796890259
0.001,32,64,xj3halwv,lr0.001_bs32_hd64_runxj3halwv,11.269866943359375,1.046107530593872,11.43667221069336,1.0,1.0
0.0001,16,128,3ksgqxmd,lr0.0001_bs16_hd128_run3ksgqxmd,2.799003839492798,1.0053961277008057,2.795764923095703,1.0057142972946167,1.0057142972946167
0.0001,8,128,00svkueg,lr0.0001_bs8_hd128_run00svkueg,11.31843090057373,1.0973436832427979,10.59230899810791,1.0,1.0
0.0005,32,64,0xqfa91e,lr0.0005_bs32_hd64_run0xqfa91e,2.9437222480773926,1.00722336769104,2.831022262573242,0.9992856979370117,0.9992856979370117
0.0001,16,256,w8ntsd4f,lr0.0001_bs16_hd256_runw8ntsd4f,11.067736625671387,1.0003345012664795,11.93562126159668,1.0,1.0
